z,mu,sigma
0.01016000,13.52640000,0.34750000
0.01017000,13.66520000,0.36422400
0.01017000,13.71440000,0.34081000
0.01026000,14.08480000,0.30510100
0.01026000,13.97230000,0.29786500
0.01042000,13.87060000,0.31607600
0.01073000,13.85510000,0.36366700
0.01096000,14.31790000,0.31369800
0.01114000,14.48070000,0.34142100
0.01114000,14.38390000,0.29398300
0.01122000,14.58170000,0.35287800
0.01122000,14.18060000,0.28213500
0.01122000,14.24170000,0.32405000
0.01155000,14.33030000,0.27987000
0.01195000,14.24440000,0.30029000
0.01213000,14.62530000,0.34532700
0.01220000,14.44930000,0.26529600
0.01233000,14.48730000,0.25269700
0.01246000,14.57560000,0.26373600
0.01258000,14.45500000,0.23924100
0.01258000,14.47160000,0.24863500
0.01259000,14.33440000,0.25865400
0.01259000,14.26480000,0.26481800
0.01279000,14.49620000,0.41578300
0.01283000,14.38350000,0.28610700
0.01283000,14.24980000,0.33002100
0.01303000,14.48250000,0.23825800
0.01303000,14.50770000,0.28594800
0.01304000,14.32220000,0.29131500
0.01304000,14.31430000,0.28350300
0.01325000,14.71520000,0.30249100
0.01325000,14.73160000,0.29817900
0.01325000,14.67170000,0.30340700
0.01375000,14.54400000,0.27654000
0.01375000,14.51530000,0.23120600
0.01375000,14.51900000,0.23420400
0.01376000,14.51190000,0.28752600
0.01386000,14.42110000,0.34431000
0.01388000,14.44380000,0.23196400
0.01389000,14.55230000,0.28753800
0.01389000,14.41210000,0.29497300
0.01411000,14.56760000,0.24941600
0.01424000,14.59140000,0.26411200
0.01442000,14.76570000,0.30600500
0.01442000,14.77190000,0.35130200
0.01442000,15.08360000,0.36973100
0.01442000,14.92510000,0.39598800
0.01442000,14.99900000,0.39631700
0.01446000,14.65480000,0.23899400
0.01450000,14.91970000,0.36402900
0.01453000,14.49960000,0.21460800
0.01460000,14.62960000,0.24785000
0.01462000,14.67230000,0.24242900
0.01463000,14.50230000,0.38957100
0.01463000,14.46590000,0.39189100
0.01467000,14.63860000,0.23917500
0.01472000,14.53640000,0.39643400
0.01484000,14.75790000,0.26886900
0.01492000,14.93720000,0.37169400
0.01493000,14.59940000,0.27624100
0.01499000,14.72100000,0.22797100
0.01499000,14.67310000,0.23013000
0.01515000,14.63470000,0.29374700
0.01519000,14.92630000,0.26540000
0.01525000,14.51760000,0.30098200
0.01529000,14.78040000,0.34324500
0.01542000,15.08960000,0.37190900
0.01543000,14.82140000,0.31370200
0.01546000,14.78010000,0.22485000
0.01549000,15.02020000,0.33928800
0.01550000,15.00510000,0.27118700
0.01550000,14.95820000,0.25665500
0.01550000,14.74640000,0.28504500
0.01550000,14.63220000,0.31276900
0.01557000,14.53720000,0.28932000
0.01557000,14.55420000,0.28913700
0.01562000,14.92020000,0.26298100
0.01562000,14.87720000,0.33321800
0.01565000,15.07870000,0.27740200
0.01576000,14.91270000,0.28560700
0.01578000,14.74560000,0.21827300
0.01578000,14.81670000,0.28912400
0.01581000,14.73960000,0.23776100
0.01581000,14.64740000,0.21732300
0.01587000,15.13860000,0.26899000
0.01588000,14.77570000,0.22319700
0.01590000,14.91330000,0.24138800
0.01590000,14.87930000,0.20772400
0.01590000,14.77990000,0.27117000
0.01603000,14.85320000,0.28028400
0.01652000,15.16070000,0.34531600
0.01652000,14.74690000,0.33363800
0.01656000,14.90780000,0.21643900
0.01657000,14.71960000,0.41440100
0.01662000,15.02630000,0.26052100
0.01666000,15.08780000,0.19617400
0.01671000,14.64550000,0.24389400
0.01678000,14.91490000,0.24499200
0.01682000,14.71430000,0.28312400
0.01690000,14.58800000,0.28804800
0.01690000,14.64450000,0.26318000
0.01692000,15.23640000,0.30913800
0.01698000,15.08790000,0.22678500
0.01699000,14.82250000,0.29658800
0.01705000,14.94430000,0.21275600
0.01718000,14.76900000,0.30781300
0.01718000,14.94730000,0.32420600
0.01720000,15.35540000,0.21815000
0.01730000,14.89060000,0.28139800
0.01730000,14.89870000,0.25571500
0.01733000,15.14790000,0.22004800
0.01733000,15.25710000,0.22965700
0.01734000,15.10800000,0.21862400
0.01737000,15.05700000,0.26217000
0.01737000,15.01390000,0.26103200
0.01743000,14.52690000,0.32952800
0.01747000,15.06980000,0.19841300
0.01747000,15.06030000,0.19596800
0.01752000,14.89350000,0.22983600
0.01776000,14.96910000,0.31927200
0.01778000,15.08340000,0.20837300
0.01778000,14.99340000,0.21171400
0.01784000,15.04090000,0.24511900
0.01784000,14.98880000,0.22122800
0.01790000,15.04450000,0.31776700
0.01802000,15.01310000,0.23264900
0.01808000,15.35480000,0.19965300
0.01826000,15.72620000,0.21680500
0.01826000,14.94750000,0.27926600
0.01839000,15.18630000,0.22528900
0.01855000,15.23900000,0.25393000
0.01855000,15.32300000,0.29501000
0.01865000,15.36410000,0.23745400
0.01865000,15.31860000,0.23846600
0.01866000,15.35360000,0.27615500
0.01875000,15.29360000,0.21381600
0.01875000,15.23360000,0.31988600
0.01905000,15.17560000,0.28010900
0.01947000,15.52170000,0.19352900
0.01947000,15.55550000,0.19365800
0.01975000,15.50400000,0.46583000
0.01975000,15.48630000,0.43267400
0.01976000,15.43350000,0.40534300
0.01995000,15.11180000,0.29449000
0.02001000,15.43240000,0.20248300
0.02006000,15.25910000,0.19765100
0.02019000,15.25420000,0.23232900
0.02019000,15.44900000,0.19055600
0.02023000,15.34650000,0.18636400
0.02023000,15.24820000,0.29433000
0.02023000,15.32300000,0.18797400
0.02023000,15.39520000,0.18588100
0.02024000,15.74580000,0.18576300
0.02034000,15.56350000,0.24031300
0.02034000,15.32190000,0.37485100
0.02035000,15.31790000,0.18575600
0.02035000,15.31260000,0.17565300
0.02035000,15.24010000,0.18882900
0.02044000,15.40220000,0.21288600
0.02049000,15.87330000,0.37481200
0.02052000,15.30300000,0.33281000
0.02056000,15.16380000,0.21547100
0.02056000,15.31170000,0.24804000
0.02081000,15.23330000,0.32934000
0.02082000,15.42100000,0.22931500
0.02082000,15.38190000,0.25307400
0.02090000,15.55880000,0.29900700
0.02096000,15.44260000,0.21480400
0.02106000,15.41630000,0.22910200
0.02116000,15.12200000,0.20128600
0.02116000,15.56640000,0.19456100
0.02118000,15.86500000,0.30951100
0.02118000,15.95260000,0.30290200
0.02131000,15.50310000,0.17855400
0.02131000,15.48140000,0.17510800
0.02131000,15.48890000,0.18580100
0.02134000,15.50970000,0.33889700
0.02137000,15.09380000,0.19717000
0.02151000,15.33690000,0.19733900
0.02153000,15.35840000,0.39239600
0.02170000,15.51790000,0.19399300
0.02183000,15.50530000,0.28215900
0.02183000,15.52120000,0.25220500
0.02197000,15.60590000,0.24496400
0.02198000,15.71240000,0.21528600
0.02203000,15.42090000,0.24630900
0.02205000,15.49470000,0.19725600
0.02207000,15.63170000,0.18405900
0.02215000,15.79510000,0.28736600
0.02219000,15.76060000,0.21446600
0.02228000,15.55290000,0.17814600
0.02228000,15.57040000,0.25669400
0.02231000,15.67150000,0.16767700
0.02234000,15.51970000,0.19716400
0.02234000,15.61740000,0.20268900
0.02236000,15.52840000,0.22303400
0.02239000,15.51840000,0.30144800
0.02239000,15.60730000,0.24161600
0.02240000,15.50600000,0.28745400
0.02240000,15.54670000,0.25383800
0.02241000,15.78620000,0.21282000
0.02255000,15.47760000,0.24163800
0.02266000,15.59080000,0.21888800
0.02270000,15.61630000,0.20149900
0.02273000,15.43190000,0.35730600
0.02295000,16.01550000,0.30367600
0.02295000,15.60540000,0.19945000
0.02298000,15.74620000,0.26600000
0.02298000,15.71820000,0.23574300
0.02303000,15.73200000,0.18881900
0.02307000,15.51360000,0.33926600
0.02313000,15.76950000,0.26987400
0.02316000,15.63000000,0.27364200
0.02321000,15.66380000,0.17647000
0.02325000,15.80070000,0.22811000
0.02331000,15.39480000,0.26559300
0.02331000,15.17710000,0.27811500
0.02342000,15.73210000,0.28128700
0.02342000,15.75510000,0.22004200
0.02342000,15.72530000,0.22378000
0.02343000,15.60520000,0.25886900
0.02343000,15.60520000,0.16848700
0.02344000,15.58010000,0.26238500
0.02352000,15.58610000,0.21418500
0.02354000,15.74680000,0.21603800
0.02357000,15.78760000,0.20480000
0.02357000,15.69790000,0.25771700
0.02357000,15.31850000,0.26034900
0.02365000,15.70130000,0.27270600
0.02369000,15.69000000,0.20805600
0.02388000,15.74190000,0.17877300
0.02390000,15.63600000,0.40279300
0.02390000,15.74100000,0.27606600
0.02391000,15.64630000,0.18840600
0.02401000,15.84880000,0.19313600
0.02411000,15.85190000,0.30915300
0.02411000,15.21810000,0.39756000
0.02412000,15.62520000,0.22243400
0.02417000,15.68910000,0.20652900
0.02417000,15.83100000,0.18155800
0.02428000,15.92730000,0.23067600
0.02429000,15.82410000,0.19354100
0.02432000,15.73410000,0.18215700
0.02432000,15.70000000,0.19621500
0.02432000,15.97870000,0.23365000
0.02434000,15.75720000,0.20013500
0.02453000,15.75500000,0.15974900
0.02453000,15.82160000,0.20820900
0.02453000,15.69630000,0.16872500
0.02457000,15.92540000,0.18717500
0.02462000,15.85310000,0.23400300
0.02462000,15.79910000,0.22967900
0.02462000,15.63680000,0.23240900
0.02464000,15.69980000,0.21208300
0.02464000,15.55400000,0.18045100
0.02466000,15.55820000,0.31644600
0.02491000,15.83320000,0.23902700
0.02494000,15.94430000,0.22689200
0.02509000,15.96220000,0.26716600
0.02510000,15.58390000,0.28677400
0.02510000,15.59520000,0.17990300
0.02510000,15.82600000,0.20421900
0.02510000,15.75600000,0.17481600
0.02512000,15.77460000,0.18827200
0.02513000,15.20530000,0.33216900
0.02517000,15.65870000,0.30529200
0.02517000,15.94590000,0.23674700
0.02517000,15.97470000,0.20258300
0.02519000,15.86090000,0.15294500
0.02519000,15.86150000,0.17272700
0.02521000,15.73120000,0.18330700
0.02525000,15.69110000,0.23920400
0.02525000,15.65330000,0.26770800
0.02534000,15.93520000,0.17462600
0.02534000,15.94440000,0.18396600
0.02556000,15.92980000,0.23216000
0.02557000,15.80910000,0.18825100
0.02585000,15.51340000,0.34363300
0.02591000,15.86510000,0.19835100
0.02596000,16.14840000,0.19866400
0.02598000,16.04010000,0.17750300
0.02598000,15.85510000,0.19639500
0.02598000,15.58200000,0.34726600
0.02598000,16.05810000,0.17667900
0.02626000,16.03250000,0.28764400
0.02626000,16.08990000,0.32210200
0.02632000,15.76930000,0.37136600
0.02669000,16.05500000,0.17754600
0.02691000,16.01580000,0.18137400
0.02691000,16.03620000,0.20410500
0.02695000,15.86540000,0.17934800
0.02713000,15.99830000,0.18479800
0.02714000,16.06940000,0.21436400
0.02730000,16.03620000,0.29768500
0.02731000,16.01430000,0.17022900
0.02731000,16.09070000,0.22920400
0.02731000,15.85880000,0.34553800
0.02731000,15.97400000,0.26024800
0.02736000,16.06000000,0.21847500
0.02740000,16.05120000,0.35181800
0.02741000,16.27060000,0.22371300
0.02748000,15.86000000,0.17060100
0.02748000,15.90080000,0.18489500
0.02748000,15.85870000,0.16814100
0.02773000,16.09370000,0.28861500
0.02803000,16.47280000,0.32056400
0.02805000,15.87760000,0.18278700
0.02810000,16.42090000,0.21466200
0.02816000,16.10830000,0.18870600
0.02819000,16.06440000,0.17130100
0.02820000,16.03440000,0.29168700
0.02823000,16.25310000,0.16084200
0.02823000,16.30330000,0.15792600
0.02823000,16.30500000,0.15870500
0.02833000,16.01350000,0.17548000
0.02844000,16.11900000,0.15801100
0.02844000,16.08910000,0.15418000
0.02849000,15.85190000,0.17971700
0.02849000,16.18380000,0.17828900
0.02849000,16.03830000,0.17618600
0.02849000,16.10600000,0.17820900
0.02849000,15.94330000,0.36560900
0.02857000,16.34660000,0.23345300
0.02858000,16.40660000,0.24992800
0.02866000,16.09190000,0.20964700
0.02866000,16.15750000,0.20009700
0.02873000,15.69570000,0.22614300
0.02888000,16.02330000,0.65456000
0.02898000,16.22490000,0.27404900
0.02902000,15.80280000,0.21699000
0.02913000,16.26220000,0.24936200
0.02915000,16.44180000,0.18134600
0.02917000,15.98610000,0.18385100
0.02919000,16.34940000,0.16782900
0.02938000,16.36920000,0.29874800
0.02938000,16.21900000,0.22413400
0.02944000,16.02310000,0.17888900
0.02947000,15.84090000,0.27135400
0.02949000,16.35490000,0.22260200
0.02950000,16.11080000,0.28245500
0.02953000,16.21240000,0.17580500
0.02956000,16.25340000,0.18897600
0.02969000,16.02510000,0.19223500
0.02978000,16.24850000,0.18844500
0.02978000,16.25860000,0.18886800
0.02990000,16.18240000,0.18335800
0.02996000,16.60800000,0.19062000
0.03012000,16.26650000,0.19422000
0.03012000,16.23080000,0.19745900
0.03012000,16.22310000,0.23192200
0.03023000,16.26550000,0.16380200
0.03031000,16.30120000,0.21458100
0.03036000,16.22730000,0.17169400
0.03047000,16.28150000,0.25683300
0.03059000,16.10560000,0.16228700
0.03075000,16.09920000,0.34209300
0.03076000,16.35540000,0.21095000
0.03083000,16.21180000,0.27743600
0.03086000,16.16340000,0.18285900
0.03091000,16.23960000,0.16427200
0.03096000,16.39510000,0.20490100
0.03108000,16.66940000,0.39838800
0.03108000,16.15300000,0.33102000
0.03108000,16.08440000,0.37432000
0.03110000,16.31200000,0.18172700
0.03114000,16.41700000,0.23529100
0.03114000,16.28790000,0.18291400
0.03116000,16.33470000,0.16692400
0.03117000,16.27740000,0.28229400
0.03118000,16.41450000,0.17243000
0.03120000,16.24270000,0.17387000
0.03120000,16.32630000,0.14620800
0.03120000,16.23110000,0.15141400
0.03121000,16.51900000,0.22259600
0.03121000,16.48980000,0.22515100
0.03121000,16.53370000,0.21497000
0.03132000,16.37010000,0.31974800
0.03143000,16.39310000,0.19434700
0.03143000,16.30720000,0.18358800
0.03147000,16.65890000,0.27256700
0.03148000,16.44870000,0.16205500
0.03148000,16.45400000,0.21891200
0.03162000,16.39440000,0.19235400
0.03162000,16.43170000,0.18612800
0.03166000,16.47490000,0.17599100
0.03192000,16.20620000,0.27474100
0.03201000,16.23660000,0.14620300
0.03236000,16.42160000,0.20029900
0.03255000,16.32300000,0.19495300
0.03260000,16.60320000,0.25739600
0.03260000,16.60470000,0.29337900
0.03264000,16.62780000,0.18811300
0.03264000,16.41260000,0.27319400
0.03264000,16.65520000,0.19632000
0.03272000,16.41080000,0.15369500
0.03272000,16.38360000,0.16769900
0.03272000,16.39010000,0.14594500
0.03282000,16.37990000,0.20223200
0.03289000,16.58510000,0.17660700
0.03290000,16.47180000,0.15115700
0.03294000,16.54620000,0.32490200
0.03296000,16.47940000,0.21852800
0.03296000,16.63770000,0.22412000
0.03298000,16.36340000,0.16583100
0.03333000,16.41130000,0.14851300
0.03333000,16.47380000,0.16037600
0.03335000,16.56290000,0.19712000
0.03341000,16.61170000,0.14855300
0.03341000,16.59860000,0.14105800
0.03371000,16.52670000,0.15740000
0.03373000,16.57600000,0.27233800
0.03375000,16.76990000,0.24151300
0.03378000,16.57460000,0.25771500
0.03393000,16.65590000,0.17514500
0.03403000,16.50570000,0.31179900
0.03428000,16.66580000,0.20565100
0.03428000,16.68480000,0.20958400
0.03437000,16.53070000,0.21538900
0.03441000,16.57200000,0.33953400
0.03451000,16.72270000,0.35706400
0.03459000,16.48180000,0.15329600
0.03479000,16.60360000,0.20399400
0.03491000,16.65880000,0.16341700
0.03512000,16.62860000,0.16715900
0.03515000,16.64070000,0.20993400
0.03516000,16.54820000,0.48257600
0.03516000,16.55080000,0.48130000
0.03522000,16.58190000,0.33312000
0.03529000,16.60800000,0.16642400
0.03551000,16.73750000,0.37384800
0.03568000,16.98100000,0.18651100
0.03576000,16.70610000,0.22354800
0.03576000,16.90150000,0.22873000
0.03583000,16.67950000,0.20243900
0.03585000,16.29850000,0.20253400
0.03599000,16.73790000,0.18522800
0.03616000,16.60560000,0.22184500
0.03624000,16.93150000,0.18528800
0.03635000,16.75050000,0.18327300
0.03682000,16.67520000,0.15425500
0.03682000,16.63060000,0.18312900
0.03697000,16.82180000,0.28802100
0.03702000,16.55260000,0.30698100
0.03702000,16.67570000,0.31732400
0.03702000,16.81650000,0.17293000
0.03702000,16.82700000,0.33572800
0.03705000,16.71070000,0.16436200
0.03707000,16.79450000,0.16413300
0.03725000,16.75370000,0.13249000
0.03725000,16.73970000,0.14671100
0.03730000,16.61680000,0.18775900
0.03740000,16.72590000,0.16144000
0.03753000,16.69600000,0.26121700
0.03756000,17.08030000,0.16910600
0.03756000,16.96550000,0.16920100
0.03787000,16.75330000,0.20488400
0.03790000,16.80940000,0.16075600
0.03796000,16.83590000,0.19703400
0.03818000,16.64080000,0.14930200
0.03818000,16.60870000,0.15029700
0.03828000,16.86110000,0.23460400
0.03834000,17.26470000,0.24431900
0.03847000,16.97240000,0.31001400
0.03848000,17.00340000,0.14752400
0.03873000,16.75950000,0.16819700
0.03884000,16.77300000,0.21784000
0.03902000,16.75950000,0.20292400
0.03909000,16.94320000,0.21916500
0.03910000,16.95950000,0.18152300
0.04014000,17.03100000,0.14541500
0.04035000,17.29560000,0.23307600
0.04056000,16.76370000,0.14091000
0.04056000,16.82880000,0.14244400
0.04077000,16.73880000,0.20872500
0.04089000,16.87330000,0.16666200
0.04095000,17.15740000,0.30599800
0.04099000,16.78730000,0.14474900
0.04101000,17.06230000,0.14835700
0.04167000,17.30710000,0.27881800
0.04222000,16.95710000,0.20628200
0.04258000,17.25760000,0.42563100
0.04268000,17.04010000,0.14858400
0.04268000,16.66080000,0.29325000
0.04285000,16.99910000,0.17345000
0.04285000,16.95410000,0.16431200
0.04289000,16.94880000,0.16026400
0.04306000,16.99270000,0.20528800
0.04349000,17.16350000,0.16385500
0.04349000,16.96070000,0.14977300
0.04349000,17.03520000,0.16442400
0.04369000,17.00640000,0.17571400
0.04408000,17.07680000,0.17918500
0.04438000,17.29390000,0.22961900
0.04439000,17.03860000,0.24761100
0.04440000,17.29800000,0.26917400
0.04464000,17.25840000,0.28499600
0.04487000,17.20350000,0.16007300
0.04521000,17.43360000,0.30372300
0.04545000,17.20110000,0.19440000
0.04575000,17.21040000,0.17141900
0.04575000,17.26090000,0.14951500
0.04583000,16.90490000,0.18075100
0.04590000,17.12810000,0.19413700
0.04625000,17.01060000,0.21642800
0.04631000,17.28640000,0.15691700
0.04643000,17.07170000,0.19314300
0.04656000,17.25510000,0.20781500
0.04664000,17.21830000,0.19220300
0.04682000,17.22560000,0.14571700
0.04682000,17.23270000,0.18092400
0.04691000,17.50520000,0.27937600
0.04738000,17.31120000,0.22755300
0.04760000,17.34790000,0.15941700
0.04777000,17.34160000,0.14285600
0.04777000,17.30970000,0.20705300
0.04819000,17.24460000,0.16366000
0.04837000,17.12050000,0.15236700
0.04860000,17.07730000,0.13312400
0.04865000,17.38800000,0.17944300
0.04934000,17.34670000,0.20087700
0.04940000,17.21610000,0.17492300
0.04944000,17.32980000,0.16591400
0.04985000,17.38720000,0.24289900
0.04989000,17.21840000,0.18355500
0.05018000,17.31630000,0.15345500
0.05023000,17.60530000,0.16097800
